Li,[Li+]
FSI,[N-](S(=O)(=O)F)S(=O)(=O)F
DME,COCCOC
HFE,C(F)(F)(OCC(F)(F)F)C(F)F
Toluene,CC1=CC=CC=C1
"1,4-Dioxane",C1COCCO1
Digylme,COCCOCCOC
THF,C1CCOC1
DMM,COC(=O)/C=C\C(=O)OC
EC,C1COC(=O)O1
PC,CC1COC(=O)O1
FEC,C1C(OC(=O)O1)F
sulfolane,C1CCS(=O)(=O)C1
FEMC,COC(=O)OCC(F)(F)F
