Li,FSI,DME,HFE,Toluene,"1,4-Dioxane",Digylme,THF,DMM,EC,PC,FEC,sulfolane,FEMC,featureA,featureB,featureC,featureD
0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,-2.91,85.4,96.6,96.5
0.071942446,0.071942446,0,0,0,0,0,0,0,0,0,0.928057554,0,0,-3.05,93.9,95.9,95.8
0.090909091,0.090909091,0,0,0,0,0,0,0,0,0,0.909090909,0,0,-3.03,94.4,96,96
0.111111111,0.111111111,0,0,0,0,0,0,0,0,0,0.888888889,0,0,-3.02,94.4,96.2,96.1
0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0.857142857,0,0,-3,94,96.4,96.4
0.2,0.2,0,0,0,0,0,0,0,0,0,0.8,0,0,-2.95,93.4,97.1,97
0.25,0.25,0,0,0,0,0,0,0,0,0,0.75,0,0,-2.92,93,97.2,97.1
0.095238095,0.095238095,0,0,0,0,0,0,0,0,0,0,0.904761905,0,-3.3,75.9,79.5,79.9
0.111111111,0.111111111,0,0,0,0,0,0,0,0,0,0,0.888888889,0,-3.29,71.6,83.1,83.3
0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0.857142857,0,-3.26,77.2,91,90.9
0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.8,0,-3.2,88.4,96.8,96.7
0.25,0.25,0,0,0,0,0,0,0,0,0,0,0.75,0,-3.16,90.7,97.4,97.4
0.285714286,0.285714286,0,0,0,0,0,0,0,0,0,0,0.714285714,0,-3.12,91.3,97.8,97.7
0.113636364,0.113636364,0,0,0,0,0,0,0,0,0,0,0,0.886363636,-3.07,52.9,90.5,89.8
0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0.857142857,-3.06,43.6,92.7,91.1
0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0.8,-3.03,45,93.7,92.2
0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0.75,-2.99,45.3,94.5,93.4
0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0.666666667,-2.93,40.1,95.4,94.7
0.357142857,0.357142857,0,0,0,0,0,0,0,0,0,0,0,0.642857143,-2.92,52.2,97.3,97.2
